"","Date","Site","Sat","LINEAGEQA","LINEAGEQA1","PIXELQA","PIXELQA1","RADSATQA","RADSATQA1","SRAEROSOLQA","SRATMOSOPACITYQA","SRATMOSOPACITYQA1","SRB1","SRB11","SRB2","SRB21","SRB3","SRB31","SRB4","SRB41","SRB5","SRB51","SRB6","SRB7","SRB71","SRCLOUDQA","SRCLOUDQA1","SatDate"
"18",2007-07-21,"B1",7,2,NA,224,NA,0,NA,NA,9,NA,751,NA,784,NA,705.5,NA,681,NA,572.5,NA,NA,460,NA,40,NA,2007-07-21
"19",2007-08-22,"B1",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2007-08-22
"20",2007-08-29,"B1",7,1,NA,68,NA,0,NA,NA,9,NA,233,NA,285.5,NA,177.5,NA,146,NA,66,NA,NA,35,NA,32,NA,2007-08-29
"21",2007-10-09,"B1",7,2,NA,68,NA,0,NA,NA,31,NA,349.5,NA,363.5,NA,338,NA,346,NA,236,NA,NA,191.5,NA,0,NA,2007-10-09
"22",2007-10-16,"B1",7,1,NA,68,NA,0,NA,NA,8,NA,239,NA,250,NA,189,NA,136.5,NA,65,NA,NA,40.5,NA,32,NA,2007-10-16
"23",2007-10-25,"B1",7,2,NA,68,NA,0,NA,NA,8,NA,308.5,NA,334.5,NA,216.5,NA,123,NA,69,NA,NA,43,NA,32,NA,2007-10-25
"24",2007-11-01,"B1",7,1,NA,68,NA,0,NA,NA,8,NA,264,NA,372.5,NA,246,NA,129,NA,71,NA,NA,60,NA,32,NA,2007-11-01
"25",2007-11-17,"B1",7,1,1,68,68,0,0,NA,8,8,368,368,567.5,567.5,412.5,412.5,132,132,96,96,NA,49.5,49.5,32,32,2007-11-17
"26",2007-12-03,"B1",7,1,1,68,68,0,0,NA,9,9,376.5,376.5,620,620,345.5,345.5,103,103,32,32,NA,NA,NA,32,32,2007-12-03
"27",2007-12-19,"B1",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2007-12-19
"28",2007-12-28,"B1",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2007-12-28
"29",2008-01-13,"B1",7,2,NA,68,NA,0,NA,NA,9,NA,379.5,NA,521.5,NA,557.5,NA,153,NA,34,NA,NA,NA,NA,32,NA,2008-01-13
"30",2015-11-08,"B1",8,2,NA,324,NA,0,NA,68,NA,NA,231.5,NA,261,NA,164.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-11-08
"31",2015-12-10,"B1",8,2,NA,324,NA,0,NA,68,NA,NA,264.5,NA,404.5,NA,253,NA,111.5,NA,109,NA,109,101,NA,NA,NA,2015-12-10
"32",2016-01-02,"B1",8,1,NA,324,NA,0,NA,68,NA,NA,313,NA,480,NA,258.5,NA,54,NA,54,NA,54,51.5,NA,NA,NA,2016-01-02
"33",2016-01-27,"B1",8,2,NA,324,NA,0,NA,68,NA,NA,285.5,NA,346.5,NA,152,NA,28,NA,17,NA,17,14.5,NA,NA,NA,2016-01-27
"34",2016-02-12,"B1",8,2,NA,324,NA,0,NA,68,NA,NA,318,NA,373.5,NA,177.5,NA,47,NA,25,NA,25,21.5,NA,NA,NA,2016-02-12
"35",2016-02-28,"B1",8,2,NA,324,NA,0,NA,68,NA,NA,283,NA,325,NA,166.5,NA,63.5,NA,35.5,NA,35.5,27.5,NA,NA,NA,2016-02-28
"36",2016-03-15,"B1",8,2,NA,324,NA,0,NA,68,NA,NA,304,NA,342.5,NA,227,NA,182.5,NA,161,NA,161,128.5,NA,NA,NA,2016-03-15
"37",2016-04-16,"B1",8,2,NA,324,NA,0,NA,68,NA,NA,222.5,NA,239.5,NA,140,NA,76,NA,58,NA,58,43.5,NA,NA,NA,2016-04-16
"38",2016-05-02,"B1",8,2,NA,324,NA,0,NA,68,NA,NA,340.5,NA,438.5,NA,254.5,NA,151.5,NA,124,NA,124,95,NA,NA,NA,2016-05-02
"39",2016-05-09,"B1",8,1,NA,338,NA,0,NA,68,NA,NA,644.5,NA,807,NA,605,NA,504,NA,461,NA,461,397.5,NA,NA,NA,2016-05-09
"40",2016-05-25,"B1",8,1,NA,352,NA,0,NA,80,NA,NA,725.5,NA,849,NA,728,NA,674.5,NA,599,NA,599,512.5,NA,NA,NA,2016-05-25
"41",2016-06-03,"B1",8,2,NA,324,NA,0,NA,68,NA,NA,403,NA,529.5,NA,276,NA,137.5,NA,72.5,NA,72.5,53,NA,NA,NA,2016-06-03
"42",2016-06-19,"B1",8,2,NA,324,NA,0,NA,68,NA,NA,290,NA,387.5,NA,174.5,NA,61.5,NA,35.5,NA,35.5,26.5,NA,NA,NA,2016-06-19
"43",2016-07-05,"B1",8,2,NA,324,NA,0,NA,68,NA,NA,303.5,NA,484,NA,231,NA,96,NA,71,NA,71,60,NA,NA,NA,2016-07-05
"44",2016-07-12,"B1",8,1,NA,324,NA,0,NA,68,NA,NA,599,NA,770.5,NA,592.5,NA,487.5,NA,441.5,NA,441.5,377.5,NA,NA,NA,2016-07-12
"45",2016-07-21,"B1",8,2,NA,324,NA,0,NA,68,NA,NA,238.5,NA,381,NA,188,NA,67,NA,48.5,NA,48.5,36.5,NA,NA,NA,2016-07-21
"46",2016-08-29,"B1",8,1,NA,324,NA,0,NA,68,NA,NA,207.5,NA,299,NA,146.5,NA,37.5,NA,32,NA,32,32.5,NA,NA,NA,2016-08-29
"47",2016-09-14,"B1",8,1,NA,324,NA,0,NA,68,NA,NA,238,NA,296.5,NA,156.5,NA,82,NA,74.5,NA,74.5,65.5,NA,NA,NA,2016-09-14
"48",2016-10-09,"B1",8,2,NA,324,NA,0,NA,68,NA,NA,214,NA,210,NA,121,NA,58,NA,38,NA,38,29.5,NA,NA,NA,2016-10-09
"49",2016-11-10,"B1",8,2,NA,324,NA,0,NA,68,NA,NA,335.5,NA,415,NA,207.5,NA,47,NA,25.5,NA,25.5,15,NA,NA,NA,2016-11-10
"50",2016-12-03,"B1",8,1,NA,324,NA,0,NA,68,NA,NA,308.5,NA,453,NA,215,NA,41,NA,38.5,NA,38.5,31.5,NA,NA,NA,2016-12-03
"51",2016-12-19,"B1",8,1,NA,324,NA,0,NA,68,NA,NA,302.5,NA,441,NA,226.5,NA,35.5,NA,31,NA,31,24.5,NA,NA,NA,2016-12-19
"52",2017-01-04,"B1",8,1,NA,324,NA,0,NA,68,NA,NA,236,NA,434,NA,202,NA,NA,NA,12,NA,12,19.5,NA,NA,NA,2017-01-04
"53",2017-02-05,"B1",8,1,NA,324,NA,0,NA,68,NA,NA,265.5,NA,531,NA,357.5,NA,2,NA,10.5,NA,10.5,14,NA,NA,NA,2017-02-05
"54",2017-02-21,"B1",8,1,NA,324,NA,0,NA,68,NA,NA,166.5,NA,338.5,NA,189,NA,5.5,NA,5,NA,5,7,NA,NA,NA,2017-02-21
"55",2017-03-01,"B1",7,1,NA,68,NA,0,NA,NA,8,NA,277,NA,432.5,NA,314.5,NA,150,NA,63.5,NA,NA,26,NA,32,NA,2017-03-01
"56",2017-03-02,"B1",8,2,NA,324,NA,0,NA,68,NA,NA,313,NA,474.5,NA,371,NA,83,NA,31,NA,31,21.5,NA,NA,NA,2017-03-02
"57",2017-03-09,"B1",8,1,NA,324,NA,0,NA,68,NA,NA,226,NA,445,NA,339.5,NA,38.5,NA,14,NA,14,14.5,NA,NA,NA,2017-03-09
"58",2017-03-10,"B1",7,2,NA,68,NA,0,NA,NA,8,NA,362.5,NA,575,NA,452.5,NA,186,NA,35,NA,NA,38.5,NA,36,NA,2017-03-10
"59",2017-03-18,"B1",8,2,NA,324,NA,0,NA,68,NA,NA,338,NA,502.5,NA,353,NA,174,NA,122.5,NA,122.5,101,NA,NA,NA,2017-03-18
"60",2017-03-25,"B1",8,1,NA,324,NA,0,NA,68,NA,NA,182,NA,407.5,NA,197.5,NA,68.5,NA,24,NA,24,22,NA,NA,NA,2017-03-25
"61",2017-04-02,"B1",7,1,NA,68,NA,0,NA,NA,9,NA,259,NA,390,NA,279.5,NA,141,NA,65,NA,NA,11,NA,36,NA,2017-04-02
"62",2017-04-03,"B1",8,2,NA,324,NA,0,NA,68,NA,NA,284.5,NA,391.5,NA,293,NA,133,NA,76.5,NA,76.5,58.5,NA,NA,NA,2017-04-03
"63",2017-04-10,"B1",8,1,NA,324,NA,0,NA,132,NA,NA,212,NA,344.5,NA,264.5,NA,162.5,NA,141,NA,141,121,NA,NA,NA,2017-04-10
"64",2017-04-11,"B1",7,2,NA,224,NA,0,NA,NA,250,NA,1916,NA,2048.5,NA,2101,NA,2488,NA,1697,NA,NA,1411.5,NA,2,NA,2017-04-11
"65",2017-04-18,"B1",7,1,NA,68,NA,0,NA,NA,9,NA,289.5,NA,398,NA,331,NA,271,NA,191.5,NA,NA,142,NA,36,NA,2017-04-18
"66",2017-04-26,"B1",8,1,NA,324,NA,0,NA,68,NA,NA,126.5,NA,182,NA,109,NA,19,NA,26.5,NA,26.5,26,NA,NA,NA,2017-04-26
"67",2017-04-27,"B1",7,2,NA,68,NA,0,NA,NA,14,NA,413.5,NA,428,NA,395.5,NA,441,NA,350,NA,NA,261,NA,8,NA,2017-04-27
"68",2017-05-04,"B1",7,1,NA,68,NA,0,NA,NA,9,NA,290,NA,446.5,NA,319.5,NA,193,NA,70.5,NA,NA,41,NA,36,NA,2017-05-04
"69",2017-05-05,"B1",8,2,NA,324,NA,0,NA,68,NA,NA,318.5,NA,513.5,NA,316.5,NA,154,NA,73.5,NA,73.5,55,NA,NA,NA,2017-05-05
"70",2017-05-12,"B1",8,1,NA,324,NA,0,NA,68,NA,NA,294,NA,491.5,NA,283.5,NA,126,NA,78.5,NA,78.5,71.5,NA,NA,NA,2017-05-12
"71",2017-05-21,"B1",8,2,NA,324,NA,0,NA,68,NA,NA,322.5,NA,530,NA,325,NA,172.5,NA,110.5,NA,110.5,97,NA,NA,NA,2017-05-21
"72",2017-05-28,"B1",8,1,NA,324,NA,0,NA,68,NA,NA,369.5,NA,637.5,NA,380,NA,206,NA,101,NA,101,100.5,NA,NA,NA,2017-05-28
"73",2017-05-29,"B1",7,2,NA,68,NA,0,NA,NA,8,NA,478,NA,644.5,NA,486.5,NA,392.5,NA,193.5,NA,NA,179,NA,36,NA,2017-05-29
"74",2017-06-05,"B1",7,1,NA,68,NA,0,NA,NA,9,NA,869.5,NA,1182.5,NA,1041.5,NA,897,NA,660,NA,NA,572,NA,36,NA,2017-06-05
"75",2017-06-06,"B1",8,2,NA,324,NA,0,NA,68,NA,NA,506.5,NA,802,NA,563,NA,310,NA,188,NA,188,155,NA,NA,NA,2017-06-06
"76",2017-06-13,"B1",8,1,NA,324,NA,0,NA,68,NA,NA,232.5,NA,281.5,NA,183.5,NA,54.5,NA,39,NA,39,29.5,NA,NA,NA,2017-06-13
"77",2017-06-14,"B1",7,2,NA,68,NA,0,NA,NA,9,NA,241,NA,279,NA,207,NA,136.5,NA,79,NA,NA,61,NA,36,NA,2017-06-14
"78",2017-06-21,"B1",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2017-06-21
"79",2017-06-22,"B1",8,2,NA,324,NA,0,NA,68,NA,NA,224,NA,271,NA,188.5,NA,104.5,NA,81.5,NA,81.5,69,NA,NA,NA,2017-06-22
"80",2017-06-29,"B1",8,1,NA,324,NA,0,NA,68,NA,NA,533,NA,605.5,NA,546,NA,462.5,NA,419,NA,419,367.5,NA,NA,NA,2017-06-29
"81",2017-06-30,"B1",7,2,NA,68,NA,0,NA,NA,8,NA,250,NA,273,NA,223.5,NA,125,NA,81,NA,NA,62,NA,36,NA,2017-06-30
"82",2017-07-07,"B1",7,1,NA,68,NA,0,NA,NA,9,NA,425.5,NA,467,NA,408,NA,334,NA,197.5,NA,NA,141,NA,36,NA,2017-07-07
"83",2017-07-08,"B1",8,2,NA,324,NA,0,NA,68,NA,NA,336.5,NA,372,NA,263,NA,160,NA,95,NA,95,71,NA,NA,NA,2017-07-08
"84",2017-07-15,"B1",8,1,NA,324,NA,0,NA,68,NA,NA,647,NA,728,NA,667,NA,617.5,NA,555,NA,555,448,NA,NA,NA,2017-07-15
"85",2017-07-16,"B1",7,2,NA,224,NA,0,NA,NA,53,NA,2578,NA,2808,NA,3045.5,NA,3502.5,NA,3479,NA,NA,3044,NA,2,NA,2017-07-16
"86",2017-07-23,"B1",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2017-07-23
"87",2017-07-31,"B1",8,1,NA,328,NA,0,NA,144,NA,NA,180.5,NA,344,NA,191,NA,128.5,NA,229,NA,229,213,NA,NA,NA,2017-07-31
"88",2017-08-01,"B1",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2017-08-01
"89",2017-08-08,"B1",7,1,NA,68,NA,0,NA,NA,9,NA,194,NA,214,NA,132,NA,95,NA,61,NA,NA,43,NA,36,NA,2017-08-08
"90",2017-08-09,"B1",8,2,NA,324,NA,0,NA,68,NA,NA,151,NA,166.5,NA,76,NA,29.5,NA,24.5,NA,24.5,20,NA,NA,NA,2017-08-09
"91",2017-08-16,"B1",8,1,NA,324,NA,0,NA,68,NA,NA,150.5,NA,158.5,NA,73,NA,27.5,NA,29.5,NA,29.5,27,NA,NA,NA,2017-08-16
"92",2017-08-17,"B1",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2017-08-17
"93",2017-08-24,"B1",7,1,NA,68,NA,0,NA,NA,9,NA,183,NA,245.5,NA,153.5,NA,122.5,NA,19,NA,NA,45,NA,36,NA,2017-08-24
"94",2017-08-25,"B1",8,2,NA,324,NA,0,NA,68,NA,NA,193.5,NA,209.5,NA,106.5,NA,40.5,NA,20.5,NA,20.5,20,NA,NA,NA,2017-08-25
"95",2017-09-01,"B1",8,1,NA,324,NA,0,NA,68,NA,NA,308.5,NA,384,NA,220,NA,104,NA,51,NA,51,37,NA,NA,NA,2017-09-01
"96",2017-09-02,"B1",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2017-09-02
"97",2017-09-09,"B1",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2017-09-09
"98",2017-09-10,"B1",8,2,NA,324,NA,0,NA,68,NA,NA,253.5,NA,279,NA,161,NA,80,NA,36,NA,36,19.5,NA,NA,NA,2017-09-10
"99",2017-09-17,"B1",8,1,NA,324,NA,0,NA,68,NA,NA,219.5,NA,260.5,NA,152,NA,81.5,NA,58,NA,58,45.5,NA,NA,NA,2017-09-17
"100",2017-09-25,"B1",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2017-09-25
"101",2017-09-26,"B1",8,2,NA,992,NA,0,NA,8,NA,NA,6629.5,NA,6594.5,NA,6685,NA,6845,NA,2060.5,NA,2060.5,2426,NA,NA,NA,2017-09-26
"102",2017-10-03,"B1",8,1,NA,324,NA,0,NA,68,NA,NA,164,NA,210,NA,117.5,NA,39,NA,32.5,NA,32.5,24,NA,NA,NA,2017-10-03
"103",2017-10-04,"B1",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2017-10-04
"104",2017-10-11,"B1",7,1,NA,68,NA,0,NA,NA,8,NA,222,NA,246.5,NA,193.5,NA,127,NA,61.5,NA,NA,52,NA,36,NA,2017-10-11
"105",2017-10-12,"B1",8,2,NA,324,NA,0,NA,68,NA,NA,184,NA,217.5,NA,127,NA,42,NA,24.5,NA,24.5,16.5,NA,NA,NA,2017-10-12
"106",2017-10-19,"B1",8,1,NA,480,NA,0,NA,8,NA,NA,1710.5,NA,2217.5,NA,2227,NA,2566,NA,3136.5,NA,3136.5,2833.5,NA,NA,NA,2017-10-19
"107",2017-10-20,"B1",7,2,NA,68,NA,0,NA,NA,8,NA,227.5,NA,271,NA,173,NA,140,NA,25.5,NA,NA,41,NA,36,NA,2017-10-20
"108",2017-10-27,"B1",7,1,NA,68,NA,0,NA,NA,8,NA,189.5,NA,251.5,NA,166,NA,96,NA,110.5,NA,NA,28,NA,32,NA,2017-10-27
"109",2017-10-28,"B1",8,2,NA,324,NA,0,NA,68,NA,NA,233,NA,257,NA,166,NA,73,NA,46,NA,46,35,NA,NA,NA,2017-10-28
"110",2017-11-04,"B1",8,1,NA,328,NA,0,NA,80,NA,NA,317.5,NA,347.5,NA,301.5,NA,350.5,NA,379,NA,379,350.5,NA,NA,NA,2017-11-04
"111",2017-11-05,"B1",7,2,NA,68,NA,0,NA,NA,9,NA,243,NA,242,NA,176,NA,104.5,NA,NA,NA,NA,46,NA,32,NA,2017-11-05
"112",2017-11-12,"B1",7,1,NA,224,NA,0,NA,NA,56,NA,1072,NA,1197,NA,1284,NA,1571.5,NA,1812,NA,NA,1736,NA,2,NA,2017-11-12
"113",2017-11-13,"B1",8,2,NA,992,NA,0,NA,8,NA,NA,1679.5,NA,1677,NA,1629,NA,1781.5,NA,1053,NA,1053,933.5,NA,NA,NA,2017-11-13
"114",2017-11-20,"B1",8,1,NA,992,NA,0,NA,8,NA,NA,607.5,NA,677,NA,569.5,NA,551.5,NA,566,NA,566,489.5,NA,NA,NA,2017-11-20
"115",2017-11-21,"B1",7,2,NA,68,NA,0,NA,NA,76,NA,692,NA,821,NA,686.5,NA,739,NA,688,NA,NA,560,NA,2,NA,2017-11-21
"116",2017-11-28,"B1",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2017-11-28
"117",2017-11-29,"B1",8,2,NA,992,NA,0,NA,8,NA,NA,2467,NA,2461.5,NA,2487,NA,2714.5,NA,1910.5,NA,1910.5,1822,NA,NA,NA,2017-11-29
"118",2017-12-06,"B1",8,1,NA,324,NA,0,NA,68,NA,NA,332,NA,454,NA,259,NA,45,NA,25.5,NA,25.5,21,NA,NA,NA,2017-12-06
"119",2017-12-07,"B1",7,2,NA,68,NA,0,NA,NA,9,NA,365,NA,429,NA,301,NA,143,NA,68,NA,NA,NA,NA,32,NA,2017-12-07
"120",2017-12-14,"B1",7,1,NA,68,NA,0,NA,NA,8,NA,497,NA,583,NA,448.5,NA,262,NA,87.5,NA,NA,73.5,NA,32,NA,2017-12-14
"121",2017-12-15,"B1",8,2,NA,324,NA,0,NA,68,NA,NA,339,NA,452,NA,239,NA,39.5,NA,18,NA,18,16.5,NA,NA,NA,2017-12-15
"122",2017-12-22,"B1",8,1,NA,324,NA,0,NA,68,NA,NA,321.5,NA,479,NA,261,NA,41,NA,26.5,NA,26.5,22.5,NA,NA,NA,2017-12-22
"123",2017-12-23,"B1",7,2,NA,224,NA,0,NA,NA,141,NA,3119,NA,3114,NA,3238,NA,3424,NA,2221,NA,NA,1907,NA,1,NA,2017-12-23
"124",2017-12-30,"B1",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2017-12-30
"125",2017-12-31,"B1",8,2,NA,992,NA,0,NA,8,NA,NA,4025,NA,4072,NA,4043.5,NA,4186.5,NA,2208.5,NA,2208.5,2334.5,NA,NA,NA,2017-12-31
"126",2018-01-07,"B1",8,1,NA,324,NA,0,NA,68,NA,NA,410.5,NA,568,NA,341,NA,161,NA,142.5,NA,142.5,127,NA,NA,NA,2018-01-07
"127",2018-01-08,"B1",7,2,NA,224,NA,0,NA,NA,179,NA,3619.5,NA,3532,NA,3881,NA,4335,NA,3573.5,NA,NA,3163.5,NA,2,NA,2018-01-08
"128",2018-01-15,"B1",7,1,NA,224,NA,0,NA,NA,8,NA,1785,NA,1867,NA,1851.5,NA,1935,NA,1363,NA,NA,1139,NA,2,NA,2018-01-15
"129",2018-01-16,"B1",8,2,NA,324,NA,0,NA,68,NA,NA,385,NA,481,NA,283,NA,159,NA,143,NA,143,114.5,NA,NA,NA,2018-01-16
"130",2018-01-23,"B1",8,1,NA,324,NA,0,NA,68,NA,NA,272.5,NA,434,NA,212.5,NA,27,NA,33.5,NA,33.5,35,NA,NA,NA,2018-01-23
"131",2018-01-24,"B1",7,2,NA,68,NA,0,NA,NA,9,NA,412.5,NA,523,NA,266,NA,116.5,NA,81.5,NA,NA,33,NA,32,NA,2018-01-24
"132",2018-01-31,"B1",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2018-01-31
"133",2018-02-01,"B1",8,2,NA,324,NA,0,NA,68,NA,NA,393.5,NA,496.5,NA,299,NA,185,NA,185,NA,185,163.5,NA,NA,NA,2018-02-01
"134",2018-02-08,"B1",8,1,NA,324,NA,0,NA,68,NA,NA,214.5,NA,297,NA,132,NA,30,NA,27,NA,27,24,NA,NA,NA,2018-02-08
"135",2018-02-09,"B1",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2018-02-09
"136",2018-02-16,"B1",7,1,NA,224,NA,0,NA,NA,NA,NA,3370,NA,3370,NA,3488,NA,3662,NA,1790.5,NA,NA,1556.5,NA,2,NA,2018-02-16
"137",2018-02-17,"B1",8,2,NA,872,NA,0,NA,8,NA,NA,1113,NA,1083.5,NA,996.5,NA,1087.5,NA,847.5,NA,847.5,744.5,NA,NA,NA,2018-02-17
"138",2018-02-24,"B1",8,1,NA,324,NA,0,NA,68,NA,NA,191,NA,350,NA,148,NA,14,NA,26.5,NA,26.5,26,NA,NA,NA,2018-02-24
"139",2007-01-01,"P1",7,1,NA,68,NA,0,NA,NA,9,NA,324,NA,292.666666666667,NA,163.666666666667,NA,112,NA,73,NA,NA,38.6666666666667,NA,32,NA,2007-01-01
"140",2007-01-17,"P1",7,1,NA,68,NA,0,NA,NA,9,NA,315.333333333333,NA,305,NA,168,NA,117.666666666667,NA,56.6666666666667,NA,NA,36.3333333333333,NA,32,NA,2007-01-17
"141",2007-01-26,"P1",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2007-01-26
"142",2007-02-02,"P1",7,1,NA,68,NA,0,NA,NA,9,NA,289,NA,285,NA,173,NA,116.333333333333,NA,51.6666666666667,NA,NA,33,NA,32,NA,2007-02-02
"143",2007-02-27,"P1",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2007-02-27
"144",2007-03-15,"P1",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2007-03-15
"145",2007-03-31,"P1",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2007-03-31
"146",2007-04-07,"P1",7,1,NA,68,NA,0,NA,NA,9,NA,303.666666666667,NA,289,NA,202,NA,192.333333333333,NA,119,NA,NA,77.6666666666667,NA,36,NA,2007-04-07
"147",2007-04-16,"P1",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2007-04-16
"148",2007-05-02,"P1",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2007-05-02
"149",2007-05-09,"P1",7,1,NA,68,NA,0,NA,NA,8,NA,381.333333333333,NA,396,NA,223,NA,183.666666666667,NA,124,NA,NA,114.333333333333,NA,36,NA,2007-05-09
